i,b,c
1,3.953397,4.222109
2,-0.795672,3.789772
3,2.855523,2.102858
4,0.875826,1.294584
5,3.691759,2.556374
6,-3.698723,2.024671
7,1.468793,3.918993
8,3.831670,1.516564
9,0.784366,2.382985
10,-2.317091,2.916910
11,3.731425,4.540564
12,-1.587630,2.523434
13,-4.837454,1.409189
14,-2.100768,3.779021
15,1.593457,3.091845
16,-3.079271,1.252532
17,2.703820,4.548731
18,-0.990895,4.913927
19,1.554081,4.051086
20,-3.853404,4.510830
21,2.589250,1.550738
22,1.297392,3.649159
23,-3.270901,4.494191
24,1.562237,3.419920
25,-1.749675,2.360714
26,-0.090699,0.503506
27,-1.209365,2.170859
28,4.007766,3.054435
29,-0.385720,4.565055
30,-3.001197,4.833032
31,4.122878,2.385049
32,1.076195,4.326550
33,3.407847,1.302462
34,3.124452,4.025139
35,-1.052520,2.743497
36,4.606047,0.070209
37,2.849238,3.598523
38,-0.171117,1.994118
39,-3.475317,4.124225
40,-0.333375,3.340766
41,0.310380,0.005714
42,-0.433338,2.467889
43,-2.675535,4.338014
44,1.191466,1.219554
45,-1.325291,1.626022
46,0.612296,4.352356
47,-4.256593,0.955335
48,1.050643,2.837554
49,-1.211447,1.193080
50,4.779271,4.837701
51,0.342676,4.015897
52,-0.704807,2.239848
53,-4.155291,0.402229
54,1.826172,1.600273
55,-1.084151,2.539703
56,-1.606302,4.664169
57,-3.207778,0.545289
58,4.356465,2.756336
59,2.806424,3.532807
60,-4.099798,2.737205
61,0.909013,4.072334
62,-1.790286,2.701418
63,1.354686,4.819193
64,3.189731,3.015928
65,2.731463,2.938085
66,-4.125037,2.224945
67,-0.303395,2.981434
68,-0.226094,1.924506
69,-1.758583,2.878255
70,-4.625531,1.451648
71,2.248048,0.946957
72,1.731082,0.933648
73,-1.324172,3.063866
74,-4.601448,3.283297
75,-4.996402,2.382655
76,-1.496370,0.449122
77,-3.112789,3.788020
78,4.150889,4.383852
79,-3.614140,4.616905
80,0.996811,4.212301
81,2.082939,4.490866
82,-0.172291,4.615412
83,-3.310767,2.703000
84,0.626807,1.956480
85,-3.429032,3.526417
86,-0.209984,1.378171
87,1.416751,4.058144
88,2.527787,4.247430
89,2.798734,4.475195
90,2.819241,2.949006
91,2.225115,4.748824
92,-1.141381,2.898475
93,2.781088,2.252816
94,-2.762133,3.301227
95,-4.731904,4.981289
96,-0.801281,4.584706
97,0.461651,3.966625
98,1.593000,0.411865
99,1.988030,3.063916
100,-2.437898,2.432221
101,-0.337412,3.150737
102,-0.868479,4.225388
103,-3.286806,1.215178
104,-3.043317,3.657446
105,-1.017229,0.585671
106,-0.528826,1.102303
107,-1.492152,3.972915
108,-3.763295,1.662681
109,-0.298482,4.079565
110,1.626644,0.503038
111,4.989549,0.731792
112,3.417245,3.488353
113,-0.876178,0.226170
114,-3.090172,2.869330
115,-4.180765,4.550080
116,1.892756,2.670990
117,0.125095,3.402946
118,-4.713818,0.133484
119,-2.418033,3.175000
120,1.775462,3.031692
121,-1.374552,2.879765
122,-2.605108,1.956047
123,3.668518,1.850700
